"","title","category","impact_story","program_description"
"101","Sponsor quality food for mental health patients in the rehabilitation center by Ashadeep","women","Bindiya returns home after wandering on the streets for 10 years!
Bindiya was found on the streets of Birubari area in Guwahati. The public called to report a mentally disturbed women behaving in a socially unacceptable manner. 
The rescue team brought her to the Transit Care center of Navachetana, a rehabilitation home for homeless women with mental illness. She was so disturbed that she tried to run away the minute she was brought to the home. 
She was enrolled in the home and given a bath and a change of clothes. In her early days at the home, Bindiya used to stay unkempt. She would keep muttering to herself. She carried a pile of garbage that she wasn't willing to part with. 
Once she settled down, she was sent for medical examination. She was diagnosed with Chronic Schizophrenia. The home then started pharmacotherapy for her. 
In the initial days, Bindiya was irritable. Psycho-therapeutic sessions failed as she would present a guarded attitude and not cooperate. Sometimes she would walk out from the room. She remained emotionally and socially withdrawn. It was a challenge to communicate with her. 
She would even refrain from maintaining basic personal hygiene and lacked toilet habits. The staff had to constantly prod her to carry out activities of daily living. 
Over time as her therapy continued, her active symptoms of mental illness reduced. She was then shifted to her second phase of rehabilitation.. 
She started to get involved in household chores that required sharing responsibilities. This helped in her socialization skills. She learnt jute work that helped in refining her fine motor skills. 
The therapists noted that her sense of responsibility was very high. She would never leave a job unfinished. Her social and motor skills were honed by giving her responsibilities that required her to supervise other residents. From being non cooperative, she soon started taking care of other residents. 
Over a few months of therapy and workshops Bindiya recovered her memory. She remembered that she was from Jirrah village of Bankura district, West Bengal. 
Ashadeep then initiated a plan for her reintegration with her family. When the reintegration team reached Bindiya place, the entire community gathered to welcome her. 
The team learnt that she had been suffering from psychiatric illness for almost 30 years. Though they had initially sought treatment, they had to discontinue it as they couldn't afford it. One day she disappeared from home and over the years they had come to believe that she must have died while wandering on the streets. 
Her husband and children were at a loss of words to express their emotions. 
Bindiya had accepted her illness as her life dictation. It was due to Ashadeep tireless determination that she was finally home after 10 long years! 
Today, she continues to get therapy and medication so she can have a normal life. 
Your help can transform many more lives like those of Bindiya. You can donate so that underprivileged patients suffering from mental illness can receive therapy and be rehabilitated. You can give with confidence because every program listed is GIVEASSURED.
","Ashadeep mission is to initiate and strengthen interventions for persons with mental disorders and their families in the North Eastern states of India, in an attempt to achieve a life of better quality for them. Anjana and Mukul Goswami, with like minded people, formed Ashadeep in 1996 to take care of people with mental disorders as the rehabilitation facilities. There were no mental health rehabilitation facilities available in Assam and the North East during that time. People had to go to Kolkata or Bangalore, which was not affordable for all. Founder Mukul Chandra Goswami had a traumatic but positive experience of taking care of and rehabilitating his sister suffering from Schizophrenia. Mukul Goswami, a banker till 2001, along with his wife Anjana, a lecturer, formed Ashadeep in 1996. Over 360 individuals suffering from mental illness and intellectual disability have received therapy, special and conventional education, training in sports and vocational activities in Ashadeep Day Rehabilitation Centre since 1996. 650 homeless mentally ill persons have been housed and treated in rehabilitation homes, of which 550 have been successfully reintegrated with their families. 1200 individuals in Guwahati and over 2000 in rural areas of Assam have been intervened upon issues related to mental health through their Outdoor Psychiatric Clinic and Outreach Camps. Over 120 training and orientation programmes on mental health have been organized for school and college students, ASHAs, ANMs, Anganwadi workers, policemen, etc. Since 2013, a Community Mental Health Programme has been initiated in 3 different blocks of Assam helping 1500 patients with Severe Mental Disorders.... Read more"
"102","Sponsor seeds and fertilizers for an underprivileged tribal farmer by Janmitram Kalyan Samiti","environment","Appeal Manjhi family goes from being debt-ridden to making Rs.76,000/- in a year!
Appeal Manjhi is 52 years old. He belongs to the Manjhi tribe and lives with his family in a little village called Puri. 
Puri is a small village in Raigarh, Chhattisgarh. The Manjhi tribe depends on the forest for their livelihood. The area is rich in non timber forest produce. Appeal family used to work in the forest. But most of their produce went to a few businessmen at a nearby town called Kudumkela. 
This was the reality for most of the Manjhi tribals in Puri. The businessmen in Kudumkela provided cash, clothes, and other requirements on loans. The loans were repaid with forest produce. 
This led to the family living hand to mouth. They longed to live without having to worry about their next meal. Their problems became worse when Appeal son, Rajnikant got addicted to alcohol. 
It was during this time that Janmitram started the agriculture development program in their village. They worked to make better use of the degraded and waste land by developing horticulture and vegetable promotion. 
Appeal wanted to take their help and develop his land. However, the program failed as villagers were unwilling to cooperate with Janmitram. 
But Appeal vowed to change this with help from Janmitram. He planted fruits and vegetables on whichever parts of the land he could. In the first year, the produce was not good. Puri was a place where open grazing was common which affected his crops. 
His son Rajinikanth also squandered the minimal earnings they received on alcohol. 
In spite of all this, nothing could derail Appeal from the path he chose. 
With the support of Janmitram, he brought up the issues he faced with open grazing in the panchayat. He erected a fence around his land. **Janmitram helped Appeal choose crops that improved soil such as sunflower, pea and cauliflower. He erected a hut in the field and kept around the clock vigil. He then helped his son stop his alcohol habit with constant motivation and got him to work on the farm with him. ** 
All the hard work paid off and that season he sold a whopping Rs. 76,000 worth of vegetables. 
His farm inspired those around him. In the next season, many other residents of Puri replicated Appeal farm. Most of them enrolled in the Janmitram program and succeeded in earning well. 
Over time, more and more villagers began to shift to agriculture until the old system was completely done away. In 2016, the whole village produced 26 tons of onion alone! 
f you do good, things will turn good for you,says Appeal, with a toothy grin. 
Appeal Manjhi appeal in Puri is now unanimous. He is however, most proud of his son Rajinikanth who left alcohol and turned into a passionate farmer. 
Your help can transform many more villages like those of Puri. You can donate so that the poor farmers can get resources to start farming and get out of the cycle of debt. You can give with confidence because every program listed is GIVEASSURED.
","Janmitram' translates to """"Friends of People and that is exactly what the organisation, Janmitram Kalyan Samiti has been for the tribal people in remote Chhattisgarh. The organisation was established in October 2002. Since then it has been working with the government and community towards development. Janmitram Kalyan Samiti was started by a group of youth with a common aim to fulfil their desire of serving the society.The founders of the organisation have had an academic and professional background in forestry. Therefore the organisation naturally started working in forest-related programmes in tribal and rural areas. Janmitram initially worked for livelihood enhancement and natural resource management. Health and skill development programmes were added in due course of time.The mission of the organisation is to intervene, among backward and disadvantaged communities, by raising awareness and skill, to make them able to recognize better opportunities, offered by our nation.Dr. Mukesh Giri Goswami is instrumental in the inception and growth of the organisation. Dr. Goswami is a specialist in natural resource management including soil, water and forest conservation. In his words, """"Make footprints in hearts to be remembered rather than leaving carbon footprints on the heart of the mother Earth"""".The organisation has a varied range of activities, from making farm ponds, to vegetable garden cultivation, setting pumps and deepening wells as well as creating awareness among female sex workers.They have also received a number of rewards recently, including the Best NGO by the Women and Child Department, Raigarh under Beti Bachao-Beti Padhao scheme.... Read more"
"103","Sponsor the cost of basic food and clothing for a poor senior citizen by Vizhuthukal Trust","elderly","Muthukumari is no more a burden to her family
Muthumari is a 75-year-old widow. She lives with her daughter Nangaiar and her two granddaughters in Maranthai village in the Alankulam Taluk of Tamilnadu.
Nangaiar is a 41-year-old widow. She works as a daily wage agricultural laborer. She earns a meager Rs.35 ($.047) per day whenever she can find work. 
They struggle to make ends meet and go hungry many days.
To add to their troubles, Muthumari got diagnosed with Tuberculosis. Nangaiar was already struggling to manage the family. Her aged mother's illness turned out to be an added burden which she could not afford.
This is when the staff of Vizhuthukal Trust got to know about the family and visited them. 
The staff found out the pathetic condition of the family of four women.
They first conducted a thorough checkup and arranged medicines from the Government hospital at Alankulam for Muthumari.
They enrolled her in their grocery program. She received 10 kg. of rice, grocery, a saree, health drink, and vegetables.
Muthumari's health improved drastically after the intervention. The regular medical care and groceries proved to be a boon to her. 
Muthumari is no more a burden to her family. One can see the rays of happiness on her face now.
You can also help poor elderly citizens get access to basic food and clothing. You can donate so that they can live their golden years in peace. You can give with confidence because every program listed is GIVEASSURED.
","The vision of the organisation is to strive towards transforming the de-humanized and exploited to experience and sustain a dignified life.Being a Dalit, Mrs. Nancy was affected by three dimensions - within the family, being untouchable and having been born as a woman. This phenomenon is common to all Dalit women. This kind of injustice unveiled by the society on the women folk hurt her feelings from childhood. This inner urge and burning desire motivated her to start an organisation for the cause of women, especially Dalit.The founder's father was a school head master and she always had an inclination towards social service looking at the condition of the people living in remote areas of her village, especially women. Thereafter, she decided to start SHGs and also had offers to join the govt. but decided not to do so as that would mean having to succumb to political pressure. Slowly, the activities gained momentum and she increased the focus areas. She has received a lot of support from her husband. The organization is run by women and works for women beneficiaries from the dalit community (especially scavengers) irrespective of religion.Mrs. Nancy has 16 years of experience in organizing the unorganized labours like bullock cart workers, farmers, domestic workers, scavengers and rural artisans and development works. She has organized 680 women self help groups. She is a master trainer in Entrepreneur development training and self help group members and leaders.Vizhuthukal Trust primarily works for landless labourers, agricultural coolies and scavengers in Tirunelveli. Due to modernization and urbanization, agricultural activity has come down narrowly over the years. So women in the village find it very difficult to find any kind of work. The condition of destitute, abandoned and widowed women gets further worsened against this background. Vizhuthukal Trust runs various development programs for the welfare of the rural community under Tirunelveli Corporation. One of these is their educational program, through which they support play centres. In a survey that the Trust conducted amongst these children, they learnt that many children had expressed that their wish is to celebrate their birthdays with their friends and family. So the organisation has a program for celebrating birthdays of children.The organization's primary focus is to work for the betterment of children, women and the aged (primarily women). They do this through: 1) Organization of women working as house maids2) Self-Help Group formation for women3) education Support for poor children in slums/orphans4) Support for destitute women who are aged5) Children's birthday celebration programme6) Income Generation Programme... Read more"
"104","Sponsor blood units to poor patients with hemophilia by Hemophilia Federation (India)","health","Nagaraju keeps his hemophilia under control with a little help
Nagaraju was born with hemophilia with factor VIII deficiency. He lives with his mother in Hyderabad. His father passed away when he was very young. This led to his mom being the sole earning member of the family. 
His mother is uneducated. She works as a tailor. She has a very unstable income. They manage to make ends meet with great difficulty. 
Hemophilia A, also called factor VIII deficiency, is a genetic disorder caused by missing or defective factor VIII, a clotting protein. People with hemophilia A bleed longer than other people. Bleeding can occur internally, into joints and muscles, or externally, from minor cuts, dental procedures or trauma. 
Currently, there is no cure for hemophilia. The main method of treatment for hemophilia A is to intravenously infuse a concentrated FVIII product called clotting factor or simply factor through a vein in the arm or a port in the chest. 
Living with a disease that has no cure, Nagaraju always has to be ready for life threatening situations. On one instance he got affected with a peritoneal bleed - an internal bleeding. He was admitted in the Little Star's Children Hospital. 
A large quantity of factor VIII was required to control his bleeding immediately.** The cost of this requirement crossed over a lakh.** His mother had no means of arranging this amount. She was helpless and was at a complete loss of options. 
Seeing their situation the hospital referred them to Hemophilia Federation. 
Hemophilia Federation with the support of The Hans Foundation provided 5012 IUs of factor VIII which covers close to Rs.60000/- as partial support. Nagaraju was treated by infusing the required units. His internal bleeding was controlled and he recovered well. 
He is now registered with the Hyderabad chapter of the Hemophilia society. 
Your help can many more patients like Nagaraju. You can donate so that the poor patients who suffer from hemophilia can get support and ave a normal life. You can give with confidence because every program listed is GIVEASSURED.
","The Organization was started in 1983 by Ashok Verma who was himself a hemophilia patient, to alleviate the sufferings of thousands of hemophiliacs in the country. Mr. Vikash C. Goyal President, HFI, is a Banglore-based businessman and a father of a hemophiliac son who passed away because of hemophilia. He very passionate about this cause and for the welfare of the suffering hemophiliacs of India.Work done by the organization -Provided 5000 ius each of free AHF factor VIII, IX, Fieba to 55 beneficiaries from all over India Provided education support to 500 children with hemophilia from all over India Provided 3000 ius each of factor VIII & IX to 720 beneficiaries from all over India Providing support for Carrier Detection and Prenatal Diagnosis for 120 girls and women from hemophiliac families from all over India In 2013, Hemophilia Federation (India) was awarded the India NGO Awards by the EdelGive Foundation & The Resource Alliance Finalist and in 2017, Project Heal A Soul was awarded the Bureaucracy Today Winner by Bureaucracy Today.... Read more"
"105","Help poor terminally ill patients get access to medical care by Karunashraya","health","Bi's wish to see her daughter comes true!
Bi grew up in a large family with a lot of siblings. Her family raised and sold goats for a living. Even though they were not well off, she was very loved in her family. She always wanted a large family of her own when she grew up.
Unfortunately, she couldn't bear children. This news devastated her and she fell into depression. To help her overcome depression, her siblings let her raise their children. Her husband earned a meager income but was happy to support her in raising the children. Over time, the children got married and her husband passed away. The marriage of the children and the death of her husband hit Bi with loneliness.
Bi, then started raising and selling goats for earning her livelihood. However, one goat changed Bi's life. She instantly connected with her. Bi named her Sita. Sita showed a lot of human emotions and they both grew very fond of each other.
One day Bi noticed a lump on her breast. Further tests confirmed that she was in an advanced stage of breast cancer. Afraid of the cost and suspicious of hospitals, Bi denied treatment. 
It was then that a relative referred her to Karunashraya. She visited Karunashraya and agreed to get admitted as she felt cared for by the staff. In no time Bi became one of the favorite patients of the doctors, counselors and nursing staff.
While they cared well for her, Bi was always concerned about Sita. Her niece had informed her that Sita was unwell and depressed. Bi insisted on going home to visit the goat who had now become her daughter. But Bi's condition had deteriorated and she couldn't be sent home.
And so began the long journey of bringing Sita to the hospital to fulfil Bi's last wish.
The staff at Karunashraya made all efforts to bring Sita to the place. Sita, unfamiliar with the sound and feel of vehicles and would keep trying jump out of the vehicles. After three days of failed attempts, the staff managed to bring Sita to the hospital on a two-wheeler!
Karunashraya had seen many reunions and wishes being fulfilled but a wish in the form of a goat was new. All the staff followed Sita to Bi's ward and the whole place was lit with smiles and tears of joy.
Sita was surprisingly disciplined. She walked along one side of the corridor and seemed calm and composed. On meeting Bi, she turned her face away and refused to look up at her. It was as if she was annoyed with Bi for staying away from her for over 6 months. She relented only when an overwhelmed Bi picked her up and placed her on her lap. A happy Sita peacefully dozed off on her lap.
The goat slept in Bi's lap like it had finally reached home after a long journey. Bi spent the whole day with her relatives and Sita and looked like she couldn't have asked for more.
A few days later, Bi bid goodbye to the world knowing Sita was in good hands.
** A little support and care can help terminally ill patients them live their last days in peace. Your donations can help Karunashraya care for many more patients like Bi. You can give with confidence because every program on our platform is GIVEASSURED.**
","Karunashraya, meaning 'an abode of compassion' is a huge establishment, covered in lush greenery, bird song and peace, in the middle of a busy city that houses the hospice that caters to palliative care. The hospice has been offering in-patient care since 1999 and home care since 1995, tending to over 17,500 patients and touching the lives of their families by providing a supportive environment.Cancer is a leading cause of death in India with nearly 3 million suffering from it. WHO predicts that 700,000 people will succumb to the disease on an annual basis by 2015. Nearly 80% of cancer patients in India access medical help when there is no hope for cure! The need for palliative care has never been more critical, especially in Bangalore which is also apparently the 'Cancer Capital of India'.Karunashraya is the first hospice of its genre in India to offer patients the flexibility of alternating between the hospice and their home, Karunashraya helps patients live without pain, and in dignity and peace till their journey's end.... Read more"
"106","Support poor students get access to IT and vocational training by Udayan Care","livelihoods","Shalini's journey from an closet artist to becoming a design executive
Shalini lives with her parents and four siblings in Badarpur, South Delhi. Her father works as a painter and mother is a homemaker. With five children to provide for, her father barely managed to make ends meet.
Badarpur is close to the Haryana border. It is a poor urbanized locality and girls in the community face a lot of constraints.
Shalini was a talented artist. Looking at her potential, Shalini's sister managed to convince her parent to enroll Shalini in the Graphic and Print Design Course. This course was being conducted at the  Badarpur's Udhayan Care IT center.
Shalini cleared her screening process and joined the course. The course nurtured her talent and gave her the skill required to get better. She worked very hard at her subjects even with lack of resources at home.
Shalini got selected to do an internship in DDB Mudra Group. During the course of this internship she worked closely with their  in house creative team. Her seniors were appreciative of her typography work.
This experience added wings to her career. She completed her course with flying colors.
Shalini is at present working with Brightwaay, South Delhi as a Designing Executive. She is working on improving her professional skills in the field of designing.  She is now a confident young and independent girl. She also contributes financially to her family.
Your help can make many more poor students like Shalini. You can donate so that students can get livelihood skills and better employment. You can give with confidence because every program listed is GIVEASSURED.
","Appalled by the stark reality of 31 million orphans in India and shocked by the condition of institutions housing them, a few like-minded people came together to take serious action. This obsession was the seed which sprouted as Udayan Care - which was registered in 1994, as a Public Charitable Trust.Dr. Kiran Modi, started Udayan Care and the first Udayan Ghar (Home) for orphaned and abandoned children, in Delhi, with a strong belief that every individual is a catalyst of change. A doctorate from IIT, Delhi, Dr. Modi is a person of varied experience in several fields, including the media and has also been a founding member of several other trusts working for the disadvantaged.They started with the Udayan Ghar Programme for orphaned and abandoned children. In 2002, they moved towards higher education for girls through the Udayan Shalini Fellowships. In 2004, they started the Udayan Information and Technology Centres to improve employability of underserved communities.A thorough research on models existing for children in need of care & protection and opportunities for disadvantaged women and youth helped develop innovative models across all initiatives.... Read more"
"107","Support underprivileged children begin their educational journey by UDAAN India Foundation","children","Little Shabnam no longer spends her days doing domestic chores
""I have always wanted my children to be educated and stand on their own feet. I want my girl to be equally educated as my son. I don't want my daughter to get married early, like I did. My daughter will be an independent person in life."" This was Shabnam's mother's dream for her.
Shabnam Seth is a 5 year old girl who lives with her parents in the construction workers' slum in Powai, Mumbai. Both her parents are daily wage workers. Their family income was less than Rs.6000/- ($83) per month. School was never considered a priority. Even at that tender age, little Shabnam would help her mother with daily household chores. 
One of the Udaan Kindergarten teachers who was conducting an outreach program in the colony saw Shabnam. They counselled her parents to send her to school. Her mother couldn't believe that they could now not only send her to school but also an English school.
They enrolled in the Kindergarten at Udaan and made a commitment that they will enroll her in a government (BMC) school after kindergarten. 
Shabnam now studies in the Tirandaz Municipal School in Powai. She loves school and her new friends. Her day is no longer filled with domestic chores but rather learning and playing with her friends. She also gets a nutritious snack before she goes back home.
Today her mother can't hold back her happiness seeing her young girl speak in English.
Children like Shabnam can dream of future beyond the slums with a little sustained support from donors like you.
Your help can make many more poor children like Shabnam. You can donate so that they can get an education which can change their lives. You can give with confidence because every program listed is GIVEASSURED.
","Udaan India Foundation works with the motive of enabling a brighter future for children from low-income communities by providing them with desired knowledge, skills, values and support to achieve their true potential.The foundation of what Udaan is today was laid in 2004 when a group of people came together to help children from the construction workers' community to get into mainstream schools. Thus began Project Udaan. The overwhelming progress shown by the children enrolled at Udaan Learning Centre programs over the years paved the way for Project Udaan to be registered as Udaan India Foundation in 2009.Mamta Rangan founded Udaan India Foundation as the informal Project Udaan. Taking a sabbatical from the corporate sector, her move to Mumbai brought her face to face with the stark inequities that we so often fail to notice in our busy lives. Her belief, ""education is key to Change"" led her to start Project Udaan to help children of construction workers to enrol in mainstream schools. The project was registered as a non-profit in 2009 to support the educational needs of children from low-income communities. The organisation today offers a range of programs that include Kindergarten, Learning Center, School Support, Saturday Club, Library, Alumni support and Scholarships and Skills Enhancement. No. of 10th students for mentoring, guidance and scholarships program - 123No. of support learning programmes for Municipal school - 755No. of children from low-income community for Pre school programme - 83No. of youths for spoken English and computer literacy courses - 202No. of children for after school programme in Municipal school - 392... Read more"
"108","Support education of children in a shelter home by Make A Difference","education","Nethra blooms with the care she received in her new home
Nethra still remembers the day she lost her mother. ""I regret not having spent enough time with her."" 
After her mother passed away, her brother was the only family left. She had an elder sister who was married and lived in a different city. Due to this distance, she lost touch with her as well.
As the only earning member, her brother  worked long hours. This further made Nethra feel lonely. With their financial challenges increased, it was getting very hard for them to make ends meet. 
It was then that her brother came across the Make a Difference hostels. He enrolled her in the hostel when he was convinced that she would be better taken care of there rather than at home.
Nethra soon settled down in the hostel and liked living there. However, she missed her brother a lot. She also felt sad that unlike a few girls who occasionally visited their homes, she could never go home with her brother. He would visit her regularly but due to their constraints he could not take her home. 
The volunteers in the home counselled her and helped her feel better. With proper care and nurturing she was motivated to do better in school. She began to enjoy learning and became interested in science. She also loves to dance and looking to learn classical dancing and perform  professionally when she grows up.
Nethra is now a much happier girl. She wants to become a doctor when she grows up.  She wants to help many more children  like her. She feels that being a doctor will help her take care of them. She also  wants to help children to find education and hostel and have a good life like she has been able to have.
Children like Nethra can safeguard their future if they get a second chance at life. 
You can help vulnerable children across shelter homes in India lead a safe, supported, and stress free life. You can donate so that they can get a safe shelter, care and education. You can give with confidence because every program listed is GIVEASSURED.
","Make A Difference (MAD) is a youth driven, non-profit organisation working to ensure equitable outcomes for children in orphanages and street shelters. Registered as a non-profit in 2006, Make A Difference reaches out to over 3,460 children in 67 shelters across 23 cities in India, through a highly efficient 3,822 strong volunteer network. Volunteers commit a year and spend between 2 and 10 hours every week mentoring, teaching and interacting with children in order to ensure that they get the support and care they need during childhood.Their aim is to ensure that even the most vulnerable children in shelters are able to realize equitable outcomes and that they are able to live a life free from exploitation, with a capability of managing emotional and financial life crises.... Read more"
"109","Support living expenses of children in a shelter home by Make A Difference","education","A home where Dhanya finally feels loved and cared for
""I don't want to be very rich or very poor. I just want to be able to take care of myself,"" says Dhanya (name changed).
Dhanya lives in a shelter home in Bangalore. She was born in Andhra Pradesh. Her father had abandoned them before she was even born. He mother was the sole breadwinner. However, things started getting hard when her mother started getting epileptic attacks. As their village didn't have access to proper medical facilities, they were forced to migrate to Bangalore.
This put her education in peril. After a few months in Bangalore, her mother meet a social worker who enrolled her in a shelter home. Dhanya lived in that home for a year while studying kindergarten, however for unknown reasons she had to leave the place.
That's when she moved into the Make a Difference shelter homes. Convinced that this was a safe place for Dhanya, her mom enrolled her. She remembers that the sisters gave her snacks and showed her to her room.
She went on to study from 1st grade to 4th grade in Kannada medium. She wanted to get into English medium and after a year of hard work, managed to do so in 5th grade.
It was that summer that Dhanya was going to meet her father for the first time but before she could reach he passed away unexpectedly.
When she went to his funeral she found out that he had remarried and met her half-siblings. This incident strongly affected her.
Despite being uprooted more than once Dhanya continues to be forward looking. She is now in college and is working and looks forward to have an independent life. She wants to become an journalist or an architect and make her mother happy.
Children like Dhanya need support from you to fulfill their ambitions.
You can help vulnerable children across shelter homes in India dream of a better future and stress free life. You can donate so that they can get a safe shelter, and care. You can give with confidence because every program listed is GIVEASSURED.
","Make A Difference (MAD) is a youth driven, non-profit organisation working to ensure equitable outcomes for children in orphanages and street shelters. Registered as a non-profit in 2006, Make A Difference reaches out to over 3,460 children in 67 shelters across 23 cities in India, through a highly efficient 3,822 strong volunteer network. Volunteers commit a year and spend between 2 and 10 hours every week mentoring, teaching and interacting with children in order to ensure that they get the support and care they need during childhood.Their aim is to ensure that even the most vulnerable children in shelters are able to realize equitable outcomes and that they are able to live a life free from exploitation, with a capability of managing emotional and financial life crises.... Read more"
"110","Support the care of abandoned newborn children by Delhi Council for Child Welfare","children","The doctors who give Madhavi a new lease of life
Madhavi was abandoned when she was just 2 weeks old in the cradle outside the gates of Palna.
She was immediately taken to the Medical Crisis unit for a preliminary examination. The examination revealed that she was small for gestational age. She weighed less than 3lb. She was dehydrated and lethargic. She was suffering from hypoglycemia - deficiency of glucose, hypocalcemia - deficiency of calcium, and a urinary tract infection with sepsis. The doctors and medical staff at Palna worked hard to save her.
As she improved, nasogastric feeding was started with IV fluid. In the following months she recovered fully and moved to an oral full feed.
As she got stronger she was immunized according to her age. A few months later Madhavi developed mild pneumonia. The doctors treated her and she made a full  recovery.
Little Madhavi soon steadily gained weight. It was due to the hard work, care and nurturing of all the staff at Palna that Madhavi is today a normal growing baby.
Madhavi is now all ready to start her new life with a loving family who have decided to adopt her.
With a little support from you, children like Madhavi can be saved from ending up on the streets and be given a new life and new family.
You can help abandoned children with a home and a normal childhood. You can give them the hope of a family. You can give with confidence because every program listed is GIVEASSURED.
","Delhi Council for Child Welfare started its work to provide care to the displaced, lost or abandoned children in the riots surrounding the Partition of India. It is an NGO that now provides services to the underprivileged children of Delhi and the neighboring regions to promote their health, development, economic and social wellbeing. The most well-known programme of DCCW is Palna, home for the abandoned, homeless and destitute children. At Palna, infants arrive in a precarious state of health and the best possible medical care is given to them. It is a home to those children whose parents relinquish them or surrendered to them by the Police. DCCW works towards creating awareness on matters of basic health and hygiene, nutrition, pre-natal and post-natal maternal and childcare to the women in rural areas and urban slums. They also conduct programmes aimed at the education of children from underprivileged families. The Orthopaedic Centre set by DCCW provides a complete range of rehabilitation services to physically disabled children, especially those affected by polio. More than 9,000 surgeries have been performed up to date and 25000 children have been fitted with polio aids. Their mission is to give every child the childhood they deserve.... Read more"
"111","Support the critical Medical care of abandoned infants by Delhi Council for Child Welfare","children","Samira fights death and finds a new home
Samira was abandoned  as a newborn in the cradle outside the gates of Palna.
She was severely underweight and with multiple medical complications including Craniosynostosis, a condition that changed the growth pattern of the skull. This is a life threatening condition
The doctors were in a dilemma about how to save the child. The afflictions were both diverse and critical. It was a challenge to balance the distinctive treatments in such a young baby. Their first focus was to stabilize her.
Samira stabilized after a lot of effort by the doctors, but wasn't making milestones. After intensive therapeutic interventions, she showed response after a few months.
The doctors and therapists worked with her for two years for her to reach her milestones. When she reached two years of age her fine motor abilities finally got close to her peers.
It was a miracle to watch her do basic things like stack rings on a peg, turn pages and pick rice grains with a tip to tip grasp!
The thrill on her little face as she conquered these challenges was the greatest gratification for her caregivers. With speech stimulation Samira also began to start speaking.
Samira's life changed when a family adopted her after knowing all details of her journey.
You can be the reason for a miracle like Samira's journey.
You can help in saving the lives of  critically ill abandoned children. You can give them the chance of live and hope of a family. You can give with confidence because every program listed is GIVEASSURED.
","Delhi Council for Child Welfare started its work to provide care to the displaced, lost or abandoned children in the riots surrounding the Partition of India. It is an NGO that now provides services to the underprivileged children of Delhi and the neighboring regions to promote their health, development, economic and social wellbeing. The most well-known programme of DCCW is Palna, home for the abandoned, homeless and destitute children. At Palna, infants arrive in a precarious state of health and the best possible medical care is given to them. It is a home to those children whose parents relinquish them or surrendered to them by the Police. DCCW works towards creating awareness on matters of basic health and hygiene, nutrition, pre-natal and post-natal maternal and childcare to the women in rural areas and urban slums. They also conduct programmes aimed at the education of children from underprivileged families. The Orthopaedic Centre set by DCCW provides a complete range of rehabilitation services to physically disabled children, especially those affected by polio. More than 9,000 surgeries have been performed up to date and 25000 children have been fitted with polio aids. Their mission is to give every child the childhood they deserve.... Read more"
"112","Support the education of underprivileged children by Rural Development Foundation","education","Raju's Biogas project wins the INSPIRE Science award
Raju lives with his family in Redlawada. His parents are both daily wage workers. They have an extremely unstable income.
Till Class 1 Raju studied in a local school. However, due to their financial status his parents were considering  stopping their education.
It was then that a well wisher advised them to enroll Raju in the RDF Redlawada School. His parents agreed to send him to school as they were assured that they would not have any financial burden.
He joined the RDF Redlawada School in class 2. Once he started getting proper attention he began to concentrate better in class. His teachers slowly realized that he was a very bright student.
Year on Year, he grew stronger and smarter. He began to show a lot of interest in science. He began conducting experiments to learn the practical applications of science.
All his hard work bore fruit when he created a project that could generate bio-gas out of cow dung. This could be used for cooking in the place of firewood.
His experiment won the best project award in the state level INSPIRE AWARD Scheme. INSPIRE stands for""Innovation in Science Pursuit for Inspired Research (INSPIRE)"" is an innovative programme sponsored and managed by the Department of Science & Technology for attraction of talent to Science.
A little support can help brilliant children like Raju reach their potential.
You can also help talented children like Raju change their destiny and break the circle of poverty.  You can donate so that they can get the education which can change their lives. You can give with confidence because every program listed is GIVEASSURED.
","The Rural Development Foundation (RDF), is an Indian nonprofit organization with the mission of providing quality education for underprivileged rural children. They founded and continues to operate four schools and one junior college in Telangana State, taking a unique holistic approach to education through innovative programs and methodology. Rather than using the conventional method of rote memorization, they focus on cultivating critical thinking skills and encouraging students to understand and apply concepts. They do this through special programs such as Social Awareness, Youth Empowerment, Student Leadership, and Sports. They strive to develop students who will become empowered leaders of their communities, thus working towards the vision of a transformed and prosperous rural India. Their schools strive to create India's future leaders, people who not only respect their rich, cultural heritage but are also ready to lead their country into the future. Their constant endeavor includes their sincere attempts to inculcate into young minds a civic sense and social responsibility. Beginning with a humble enrollment of 80 students, the number of children attending RDF schools has increased to 1900, as more villagers enroll their sons and daughter in the schools.... Read more"
